Plate_number	Well	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_conc
2	G3	U16	1	Unknown	NO2	Water	1	NA
2	G4	U16	1	Unknown	NO2	Water	1	NA
2	H3	U16	2	Unknown	NO2	Water	1	NA
2	H4	U16	2	Unknown	NO2	Water	1	NA
2	A5	U16	3	Unknown	NO2	Water	1	NA
2	A6	U16	3	Unknown	NO2	Water	1	NA
2	B5	U17	1	Unknown	NO2	Water	1	NA
2	B6	U17	1	Unknown	NO2	Water	1	NA
2	C5	U17	2	Unknown	NO2	Water	1	NA
2	C6	U17	2	Unknown	NO2	Water	1	NA
2	D5	U17	3	Unknown	NO2	Water	1	NA
2	D6	U17	3	Unknown	NO2	Water	1	NA
2	E5	U18	1	Unknown	NO2	Water	1	NA
2	E6	U18	1	Unknown	NO2	Water	1	NA
2	F5	U18	2	Unknown	NO2	Water	1	NA
2	F6	U18	2	Unknown	NO2	Water	1	NA
2	G5	U18	3	Unknown	NO2	Water	1	NA
2	G6	U18	3	Unknown	NO2	Water	1	NA
2	H5	U19	1	Unknown	NO2	Water	1	NA
2	H6	U19	1	Unknown	NO2	Water	1	NA
2	A7	U19	2	Unknown	NO2	Water	1	NA
2	A8	U19	2	Unknown	NO2	Water	1	NA
2	B7	U19	3	Unknown	NO2	Water	1	NA
2	B8	U19	3	Unknown	NO2	Water	1	NA
2	C7	U20	1	Unknown	NO2	Water	1	NA
2	C8	U20	1	Unknown	NO2	Water	1	NA
2	D7	U20	2	Unknown	NO2	Water	1	NA
2	D8	U20	2	Unknown	NO2	Water	1	NA
2	E7	U20	3	Unknown	NO2	Water	1	NA
2	E8	U20	3	Unknown	NO2	Water	1	NA
2	F7	U21	1	Unknown	NO2	Water	1	NA
2	F8	U21	1	Unknown	NO2	Water	1	NA
2	G7	U21	2	Unknown	NO2	Water	1	NA
2	G8	U21	2	Unknown	NO2	Water	1	NA
2	H7	U21	3	Unknown	NO2	Water	1	NA
2	H8	U21	3	Unknown	NO2	Water	1	NA
2	A9	U22	1	Unknown	NO2	Water	1	NA
2	A10	U22	1	Unknown	NO2	Water	1	NA
2	B9	U22	2	Unknown	NO2	Water	1	NA
2	B10	U22	2	Unknown	NO2	Water	1	NA
2	C9	U22	3	Unknown	NO2	Water	1	NA
2	C10	U22	3	Unknown	NO2	Water	1	NA
2	D9	U23	1	Unknown	NO2	Water	1	NA
2	D10	U23	1	Unknown	NO2	Water	1	NA
2	E9	U23	2	Unknown	NO2	Water	1	NA
2	E10	U23	2	Unknown	NO2	Water	1	NA
2	F9	U23	3	Unknown	NO2	Water	1	NA
2	F10	U23	3	Unknown	NO2	Water	1	NA
2	G9	U24	1	Unknown	NO2	Water	1	NA
2	G10	U24	1	Unknown	NO2	Water	1	NA
2	H9	U24	2	Unknown	NO2	Water	1	NA
2	H10	U24	2	Unknown	NO2	Water	1	NA
2	A11	U24	3	Unknown	NO2	Water	1	NA
2	A12	U24	3	Unknown	NO2	Water	1	NA
2	B11	U25	1	Unknown	NO2	Water	1	NA
2	B12	U25	1	Unknown	NO2	Water	1	NA
2	C11	U25	2	Unknown	NO2	Water	1	NA
2	C12	U25	2	Unknown	NO2	Water	1	NA
2	D11	U25	3	Unknown	NO2	Water	1	NA
2	D12	U25	3	Unknown	NO2	Water	1	NA
2	E11							NA
2	E12							NA
2	F11							NA
2	F12							NA
2	G11							NA
2	G12							NA
2	H11							NA
2	H12							NA
3	A1	Blank	NA	Blank	NO2	Water	1	NA
3	A2	Blank	NA	Blank	NO2	Water	1	NA
3	B1	Std 1	NA	Standard	NO2	Water	1	7.8125
3	B2	Std 1	NA	Standard	NO2	Water	1	7.8125
3	C1	Std 2	NA	Standard	NO2	Water	1	15.625
3	C2	Std 2	NA	Standard	NO2	Water	1	15.625
3	D1	Std 3	NA	Standard	NO2	Water	1	31.25
