"Plate_number"	"Sample_name"	"Replicate"	"Treatment"	"Dilution_factor"	"Blanking_group"	"Ave_abs"	"StdDev_abs"	"Ave_abs_blanked"	"Ave_concentration_uM"	"StdDev_Concentration_uM"
2	"U17"	3	"NO2"	1	"Water"	0.1033	0.00410121933088198	0.07425	-9.05713735722147	4.64032981675619
2	"U18"	1	"NO2"	1	"Water"	0.11215	0.0023334523779156	0.0831	0.956206374253818	2.64018765436128
2	"U18"	2	"NO2"	1	"Water"	0.11665	0.000494974746830588	0.0876	6.04773708517346	0.56003980547058
2	"U18"	3	"NO2"	1	"Water"	0.11735	0.00657609306503489	0.0883	6.83975297353871	7.44052884410907
2	"U19"	1	"NO2"	1	"Water"	0.12295	0.00176776695296637	0.0939	13.175880080461	2.00014216239491
2	"U19"	2	"NO2"	1	"Water"	0.0344	0.000282842712474617	0.00535	-87.0141297977466	0.320022745983184
2	"U19"	3	"NO2"	1	"Water"	0.0357	0.00113137084989847	0.00665	-85.5432431479254	1.28009098393274
2	"U20"	1	"NO2"	1	"Water"	0.0376	0.000848528137423857	0.00855	-83.3934857366482	0.960068237949557
2	"U20"	2	"NO2"	1	"Water"	0.3288	0.00395979797464466	0.29975	246.085123823307	4.4803184437646
2	"U20"	3	"NO2"	1	"Water"	0.23065	0.00572756492761103	0.2016	135.033181761804	6.48046060615951
2	"U21"	1	"NO2"	1	"Water"	0.70245	0.0197282791951047	0.6734	668.851890520001	22.3215865323272
2	"U21"	2	"NO2"	1	"Water"	0.04105	0.00106066017177982	0.012	-79.4899788582765	1.20008529743694
2	"U21"	3	"NO2"	1	"Water"	0.2865	0.0062225396744416	0.25745	198.224735140662	7.04050041163007
2	"U22"	1	"NO2"	1	"Water"	0.2603	0.0014142135623731	0.23125	168.580711890419	1.60011372991593
2	"U22"	2	"NO2"	1	"Water"	0.2014	0.000141421356237314	0.17235	101.938232140827	0.160011372991597
2	"U22"	3	"NO2"	1	"Water"	0.10595	0.00473761543394987	0.0769	-6.05879149412436	5.36038099521836
2	"U23"	1	"NO2"	1	"Water"	0.1034	0.000424264068711931	0.07435	-8.94399223031215	0.480034118974781
2	"U23"	2	"NO2"	1	"Water"	0.11035	0.00261629509039022	0.0813	-1.08040591011403	2.96021040034446
2	"U23"	3	"NO2"	1	"Water"	0.1196	0.000848528137423862	0.09055	9.38551832899854	0.960068237949563
2	"U24"	1	"NO2"	1	"Water"	0.11795	0.00176776695296637	0.0889	7.51862373499469	2.00014216239491
2	"U24"	2	"NO2"	1	"Water"	0.12705	0.00431335136523794	0.098	17.8148302837433	4.88034687624358
2	"U24"	3	"NO2"	1	"Water"	0.0389	0.00098994949366117	0.00985	-81.922599086827	1.12007961094115
2	"U25"	1	"NO2"	1	"Water"	0.03585	0.000212132034355961	0.0068	-85.3735254575614	0.240017059487385
2	"U25"	2	"NO2"	1	"Water"	0.0383	0.000707106781186548	0.00925	-82.6014698482829	0.800056864957965
2	"U25"	3	"NO2"	1	"Water"	0.03495	0.000494974746830583	0.0059	-86.3918315997453	0.560039805470575
3	"P1"	1	"NO2"	1	"Water"	0.367	0.00565685424949239	0.34155	285.326386873316	6.28495928023893
3	"P1"	2	"NO2"	1	"Water"	0.02995	0.000636396103067894	0.0045	-89.1477346041149	0.70705791902688
3	"P1"	3	"NO2"	1	"Water"	0.02885	7.07106781186543e-05	0.0034	-90.3698723689129	0.0785619910029861
3	"P10"	1	"NO2"	1	"Water"	0.14775	0.00106066017177982	0.1223	41.7321096624371	1.1784298650448
3	"P10"	2	"NO2"	1	"Water"	0.14495	0.000494974746830588	0.1195	38.6212135338603	0.549933937020911
3	"P10"	3	"NO2"	1	"Water"	0.11595	0.00346482322781408	0.0905	6.40121791645785	3.84953755914634
3	"P11"	1	"NO2"	1	"Water"	0.15045	0.000777817459305195	0.125	44.7319023578504	0.864181901032844
3	"P11"	2	"NO2"	1	"Water"	0.1509	0.00113137084989847	0.12545	45.231867807086	1.25699185604778
3	"P11"	3	"NO2"	1	"Water"	0.25585	0.00714177848998413	0.2304	161.834920912134	7.93476109130164
3	"P12"	1	"NO2"	1	"Water"	0.19035	0.0051618795026618	0.1649	89.0621721900697	5.73502534321802
3	"P12"	2	"NO2"	1	"Water"	0.1972	0.00155563491861041	0.17175	96.6727573617664	1.72836380206571
3	"P12"	3	"NO2"	1	"Water"	0.1977	0.000848528137423862	0.17225	97.2282745275837	0.942743892035844
3	"P13"	1	"NO2"	1	"Water"	0.1875	0.000141421356237294	0.16205	85.8957243449111	0.157123982005956
3	"P13"	2	"NO2"	1	"Water"	0.2028	0.00678822509939085	0.17735	102.89454961892	7.54195113628671
3	"P13"	3	"NO2"	1	"Water"	0.191	0.000141421356237314	0.16555	89.7843445056321	0.157123982005978
3	"P2"	1	"NO2"	1	"Water"	0.05765	0.000494974746830588	0.0322	-58.3720836178374	0.549933937020911
